video_id,video_title,publish_time,view_count,like_count,comment_count,likes_percentual,comments_percentual
Xgmx0li7IFw,Awesome invention of Mankind That Work Extremely Well,2022-08-31 23:11:38+00:00,929352.0,6819.0,164.0,0.7337370554967332,0.01764670437035698
46IU0EWxGEU,How To Turn A Gas Lighter into a practical refillable lighter,2022-08-27 00:35:57+00:00,419588.0,5166.0,114.0,1.2312077561798718,0.027169509137534915
f8GpBqIJTy4,TOP 20 SCIENCE EXPERIMENTS!,2022-08-25 01:06:29+00:00,754036.0,6171.0,142.0,0.8183959386554488,0.018831992106477676
7fRElfbpFcY,Amazing Handyman Tips &amp; Hacks That Work Extremely Well,2022-08-17 22:57:36+00:00,112173.0,1809.0,97.0,1.6126875451311813,0.08647357207171066
UgWXgeslVx4,Here Comes The Repairman&#39;s Secret Trick! Connect Tv Antenna Cable Correctly &amp; Firmly,2022-08-11 00:11:26+00:00,217485.0,2351.0,163.0,1.0809940915465435,0.07494769754235925
OJ02Q7Ov92s,Amazing Handyman Tips &amp; Hacks That Work Extremely Well,2022-07-31 22:37:44+00:00,408936.0,3341.0,100.0,0.8169982588962577,0.024453704247119352
5jdkIpZ-Q_M,Handyman&#39;s Don&#39;t Want You To Know This! Tips &amp; Hacks That Work Extremely Well,2022-07-27 23:56:31+00:00,162465.0,2639.0,100.0,1.6243498599698396,0.06155171883174838
kBwIpDVBwBc,Amazing Handyman Tips &amp; Hacks That Work Extremely Well,2022-07-25 00:52:30+00:00,154996.0,1840.0,98.0,1.1871274097396063,0.06322743812743555
ZyGPjJUIw3s,Amazing Handyman Tips &amp; Hacks That Work Extremely Well,2022-07-21 01:31:32+00:00,164030.0,1933.0,78.0,1.1784429677498018,0.047552277022495884
n0h5xQZYY3A,Amazing Handyman Tips &amp; Hacks That Work Extremely Well,2022-07-13 23:55:21+00:00,452651.0,4315.0,118.0,0.9532730514237238,0.026068648914947718
4eV7VsuqVus,BRILLIANT IDEA FROM OLD VAPE,2022-07-08 21:54:11+00:00,136254.0,2665.0,143.0,1.9559058816621897,0.10495104730870286
xRpLSMX4XCM,SMART HANDYMAN IDEAS AND TIPS,2022-07-06 22:22:48+00:00,190478.0,2528.0,83.0,1.3271873917197787,0.043574586041432606
bWcx4RMVSXU,HANDYMAN CRAFTS AND TIPS,2022-06-30 00:17:53+00:00,254260.0,3618.0,77.0,1.4229528828757965,0.03028396129945725
9OqithBhbdw,Genius Life Hacks That Work Extremely Well,2022-06-17 23:12:39+00:00,249241.0,3576.0,95.0,1.434755918969993,0.03811571932386726
cR0bTweTQYY,Amazing Handyman Tips &amp; Hacks That Work Extremely Well,2022-06-11 01:24:19+00:00,254724.0,3468.0,104.0,1.361473594949828,0.04082850457750349
GNuh-E12er4,Genius Life Hacks That Work Extremely Well,2022-05-25 23:36:20+00:00,2508744.0,11758.0,153.0,0.4686807422359555,0.006098669294276339
3yL2VGzB66Q,10 DIY INVENTIONS,2022-05-22 23:10:22+00:00,504218.0,6625.0,108.0,1.3139158062584042,0.021419306728438888
T74oWIqlSyc,3 BRILLIANT IDEAS,2022-05-14 02:18:20+00:00,1060424.0,9078.0,254.0,0.8560726652735132,0.02395268307771231
VouR4wEI1WI,BRILLIANT IDEA For Your Wallet,2022-05-08 22:12:27+00:00,295490.0,4883.0,212.0,1.6525093911807507,0.0717452367254391
YChTrxfLRl8,Handyman Tips &amp; Hacks That Work Extremely Well,2022-05-06 22:51:39+00:00,263896.0,3478.0,105.0,1.3179434322611938,0.03978840149149665
7obxnHXMM9M,Brilliant idea from lighters,2022-04-27 22:59:25+00:00,2249805.0,13730.0,212.0,0.6102751127319923,0.009423038885592308
vcELGKVNXpg,Handyman Tips &amp; Hacks That Work Extremely Well | Brilliant ideas,2022-04-23 00:27:14+00:00,1983823.0,5877.0,174.0,0.2962461872858617,0.008770943778754455
9-_v4oyql3g,A Brilliant Idea From An Old Computer Fan! You’ll be glad to see it!,2022-04-16 01:13:11+00:00,2583879.0,11739.0,324.0,0.4543169397638202,0.012539286862891026
zry8iJXIFPk,I didn&#39;t believe it myself! A brilliant idea in 3 minutes from a plastic bottle!,2022-04-08 23:43:41+00:00,2316989.0,19173.0,407.0,0.8274963756841315,0.01756590126237112
qDjx2iOiKpI,Handyman Tips &amp; Hacks That Work Extremely Well,2022-04-07 01:44:37+00:00,940206.0,4699.0,98.0,0.4997840898696669,0.010423247671255022
KDMDWZMb7CI,Handyman&#39;s Don&#39;t Want You To Know This! Tips &amp; Hacks That Work Extremely Well,2022-04-03 23:31:15+00:00,795018.0,3224.0,95.0,0.4055254094875839,0.011949414981799154
5VD1xBKt_wM,Handyman&#39;s Don&#39;t Want You To Know This! Tips &amp; Hacks That Work Extremely Well,2022-03-28 01:42:17+00:00,12775713.0,68485.0,1587.0,0.5360561872358904,0.012422007288360345
44ICgK7UYAM,Tool Tips &amp; Hacks That Work Extremely Well,2022-03-24 03:33:30+00:00,512873.0,5093.0,120.0,0.9930333630352933,0.02339760525510214
KjSNVft8oa4,Amazing tricks that will take you to another level of work – Tips and tricks,2022-03-17 01:57:56+00:00,3606149.0,10092.0,159.0,0.27985532489090165,0.004409135618079009
UPQ2lqjVHS8,Construction Tips &amp; Hacks That Work Extremely Well,2022-03-13 22:26:21+00:00,561165.0,4051.0,107.0,0.7218910659075316,0.01906747569787852
dVut6ns2CuQ,Tool Tips &amp; Hacks That Work Extremely Well,2022-03-10 00:55:06+00:00,2914066.0,14283.0,184.0,0.4901398938802347,0.006314201531468402
90SWwOvYSAo,Amazing tricks that will take you to another level of work – Tips and tricks,2022-03-06 23:23:48+00:00,1904902.0,7484.0,126.0,0.3928811035948306,0.006614513502531889
oQiK29-Grz4,12 DIY HACKS AND CRAFTS,2022-02-27 23:59:23+00:00,525712.0,5549.0,131.0,1.0555208935691025,0.024918586602550447
iSppKc9jQiw,Genius Woodworking Tips &amp; Hacks That Work Extremely Well ▶️2,2022-02-23 23:56:27+00:00,695446.0,3966.0,130.0,0.5702815171846556,0.01869304014977439
uaRuFMVUkT8,Amazing tricks that will take you to another level of work – Tips and tricks,2022-02-21 00:40:24+00:00,506813.0,4840.0,97.0,0.9549873424714835,0.01913920913630866
m5floCYm_EM,Genius Woodworking Tips &amp; Hacks That Work Extremely Well,2022-02-17 02:05:28+00:00,14717903.0,27404.0,335.0,0.18619500345939227,0.002276139474488995
n1BmLP4DtUs,Handyman Tips &amp; Hacks That Work Extremely Well,2022-02-14 00:44:25+00:00,1394439.0,12246.0,154.0,0.8782026320262127,0.01104386782067914
x4T3KcMJNYE,This Hack is Genius! Fix Broken Plastics With Plastic Welding Method,2022-02-11 23:08:26+00:00,2057647.0,8302.0,199.0,0.4034705661369516,0.009671240985455716
eKlbO6ujb1k,Handyman Tips &amp; Hacks That Work Extremely Well,2022-02-10 01:36:34+00:00,4071808.0,17165.0,171.0,0.4215572050548552,0.004199608625947
V4VOPsUrH7c,Handyman Tips &amp; Hacks That Work Extremely Well,2022-02-06 23:25:16+00:00,5317456.0,12745.0,147.0,0.23968228415994416,0.0027644798565328982
